ID,Name,DateCreated,active,Create id,Is publlic,Prep time ,Cook time,description,Instructions,notes,Photo link,Web link
1,Mom's Best Lasagna,2022-01-01 00:00:00,1,1,1,20m,1hr45m,"The Best Lasagna is here! Layered with a rich meat sauce and a creamy parmesan white sauce, plus the perfect amount of mozzarella cheese! NO ricotta cheese needed!","Meat Sauce:
Heat oil in a large pot over medium heat, then add in the onion and carrots and cook for 8-10 minutes, or until softened. Add in the garlic and sauté for about 1 minute, until fragrant.
Add beef and pork (if using) and cook while breaking it up with the end of your spoon, until browned.
Pour in the Passata, crushed tomatoes, tomato paste, crushed bouillon and dried herbs. Mix well to combine and bring to a gentle simmer. Season with desired amount of salt and pepper (I use about 3/4 teaspoon each) and sugar if needed. Cover and cook for about 20-30 minutes, occasionally mixing, until the sauce has thickened slightly and meat is tender.
Adjust salt, pepper and dried herbs to your taste.
Parmesan White Sauce:
In a large pot, melt butter over medium heat. Remove from hot plate; add the flour and whisk for about 30 seconds, or until well blended.
Place pot back onto stove, reduce heat down to low and slowly whisk in 1 cup of the milk until well combined. Once well blended, add the remaining milk in 1 cup increments, mixing well after each addition, until all the milk is used and sauce is free from lumps. If the sauce is too thick, add a little more milk until it turns into a nice and creamy consistency.
Increase heat to medium and continue cooking sauce while stirring occasionally until it thickens (about 6-7 minutes) and coats the back of your wooden spoon.
Add in the parmesan cheese and remove from heat. Season with salt and pepper and mix until the cheese is melted through.
To Assemble:
Preheat oven to 350°F | 180°F.
Spoon about 1 cup of meat sauce on the base of a 9x13-inch baking dish, then cover with lasagna sheets. (Trim sheets to fit over the meat if needed.) Layer with 2 cups of meat sauce (or enough to cover pasta), 1 cup of white sauce and half of the mozzarella cheese. Repeat layers (leaving the remaining cheese for the top).
Pour the remaining meat sauce and white sauce over the last layer of lasagna sheets and top with the remaining mozzarella cheese. Bake for 25 minutes or until golden and bubbling.
Garnish with parsley and let stand for about 10 minutes before slicing and serving.
ENJOY!","Fresh lasagna pasta sheets are found in the refrigerator section of most grocery stores. We prefer fresh pasta in our lasagna, but if you can't find or don't have access to fresh, you can use dried.  No Cook or Instant Noodles can be used without pre-boiling (check the packet instructions first). You can assemble as normal. To ensure the pasta has enough liquid to cook through while the lasagna is baking, we normally add about 1/2 cup of water to our sauce when using INSTANT. Pre Boil Or Pre Cook Pasta Sheets need to be boiled first before assembly. Follow the instructions on the packet. Add a couple of tablespoons of olive oil into the water to prevent the sheets from sticking together, and stir them occasionally with a wooden spoon. Transfer each cooked lasagna sheet carefully into a large bowl or pot filled with cool water to help stop the cooking process. Leave them in there until ready to use. This helps prevent them from sticking together or drying out.",https://www.thewholesomedish.com/wp-content/uploads/2018/07/Best-Lasagna-550-500x375.jpg,https://cafedelites.com/best-lasagna/
2,Crock Pot Apple Chicken,2022-01-01 00:00:00,1,1,1,45m,8h,,"Combine barbecue sauce, grated apple and lemon juice in a small bowl; mix well.
Wrap 2 pieces of bacon around each chicken breast. Place chicken breasts in base of crock pot
Pour barbecue sauce mixture over top of chicken, along with a couple apple slices (optional)
Cover; cook on Low for 8 hours.
Remove chicken from crock pot.",,https://myfridgefood.com/media/7614/baconwrappedpineapplechicken.jpg,
3,Grilled Cheese on Garlic Bread,2022-01-15 00:00:00,1,1,1,5m,10m,,"Heat large skillet over medium heat. Combine butter, garlic, Pecorino Romano and parsley in small bowl, stirring to combine. 
Spread the softened garlic butter on one side of 4 slices of bread. Place 2 slices of cheese in between 2 slices of bread, with the butter on the outside. 
Place the sandwiches in the skillet. Cook until golden brown on one side, about 3-4 minutes. Flip and cook until golden brown on the second side and cheese has melted, another 3-4 minutes. Cut sandwiches in half and serve.",,https://myfridgefood.com/media/8978/gbgrilledchssm.jpg,
4,Mashed Potato Muffins,2022-01-01 00:00:00,1,1,1,20m,45m,,"Just mash potatoes plain with butter or you can add yummy ingredients like cooked bacon, cheese, parsley, green onion, garlic, etc. Stuff in to a greased muffin tin, run a fork along the top and brush with melted butter or olive oil. Bake at 375 degrees or until tops are crispy and golden",,https://myfridgefood.com/Media/Recipe/549141_10151318672016266_1631096513_n.jpg,
5,Lemon Sorbet,2022-01-15 00:00:00,1,2,1,45m,5h,,"In a small saucepan, bring sugar and the water to boiling, stirring to dissolve sugar. Stir in the 1 tablespoon lemon zest and the lemon juice. Pour lemon mixture into the bowl of a 1-quart ice cream maker. Freeze according to ice cream maker's instructions (approximately 25-30 minutes). Transfer to a container; ripen in freezer for 4 hours. Let stand at room temperature for 5 minutes before serving",,https://www.simplyrecipes.com/thmb/GtZyMvsn0XUu-8A9omEh0RXKs24=/735x0/__opt__aboutcom__coeus__resources__content_migration__simply_recipes__uploads__2007__01__meyer-lemon-sorbet-vertical-a-1300-1350fefc9ca544adaa9dbf6cea4370d7.jpg,
6,Easy Baked Spaghetti,2022-01-01 00:00:00,1,1,1,10m,1h,,"Noodles:
Preheat oven to 350˚.
Cook noodles according to package instructions, stopping a minute or two before al dente.
Drain the noodles and mix with the spaghetti sauce and a cup of cheese.
Place into a 9×13 baking dish and top with the remaining cup of cheese.
Bake for 20 minutes, or until cheese is golden and bubbly.
Sauce:
In a medium sauce pan, combine the olive oil, garlic, and red pepper flakes and sauté over medium-high heat until the garlic sizzles.
Stir in the tomatoes and simmer for 5-10 minutes, until the sauce starts to thicken.
Remove from heat and stir in lemon juice and salt.",,https://myfridgefood.com/media/7428/bakedspaghetti.jpg,
7,Honey Glazed Salmon,2022-01-01 00:00:00,1,1,1,8m,10m,"Sticky sweet and garlicky, this glazed salmon recipe comes together in just 20 minutes","Pat salmon dry, then season with salt, pepper, paprika and blackening seasoning (if using). Set aside. Adjust oven rack to middle position, then preheat broiler. Add butter and oil to a large, oven-safe skillet over MED-HIGH heat. Once butter is melted, add garlic, water, soy sauce, sriracha, honey and lemon juice and cook 30 seconds or so, until sauce is heated through. Add salmon, skin side down (if using salmon with skin), and cook 3 minutes. While salmon cooks, baste frequently with sauce from the pan by spooning it over the top of the salmon. Broil salmon for 5-6 minutes, basting with sauce once during the broil, until salmon is caramelized and cooked to desired doneness. Garnish with minced parsley if desired.","If you'd prefer, season salmon as directed, then pan sear in the pan.  Flip over and sear on the other side, then remove to a plate.  Add sauce ingredients to pan and cook until warmed through.  Add salmon back to pan and spoon sauce over the salmon.
",https://www.thechunkychef.com/wp-content/uploads/2020/01/Honey-Garlic-Salmon-fork-320x320.jpg,
8,Quiche,2022-01-01 00:00:00,1,1,1,30m,1h,"This is a perfect base quiche recipe and it’s all baked in a super flaky homemade pie crust. Use a combination of milk and heavy cream for the richest, creamiest filling and add your favorites such as bacon, feta cheese, ham, white cheddar cheese, crab meat or spinach.","Prepare pie crust: I like to make sure my pie dough is prepared before I begin the quiche. Make pie dough the night before because it needs to chill in the refrigerator for at least 2 hours before rolling out and blind baking (next step).
Roll out the chilled pie dough: On a floured work surface, roll out one of the disks of chilled dough (use the 2nd pie crust for another recipe). Turn the dough about a quarter turn after every few rolls until you have a circle 12 inches in diameter. Carefully place the dough into a 9-inch pie dish. Tuck it in with your fingers, making sure it is completely smooth. To make a lovely edge, I do not trim excess dough around the edges. Instead, fold the excess dough back over the edge and use your hands to mold the edge into a rim around the pie. Crimp the edges with a fork or use your fingers to flute the edges. Chill the pie crust in the refrigerator for at least 30 minutes and up to 5 days. Cover the pie crust with plastic wrap if chilling for longer than 30 minutes. While the crust is chilling, preheat oven to 375°F (190°C). Partially blind bake: Line the chilled pie crust with parchment paper. Fill with pie weights or dried beans. Make sure the weights are evenly distributed around the pie dish. Bake until the edges of the crust are starting to brown, about 15-16 minutes. Remove pie from the oven and carefully lift the parchment paper (with the weights) out of the pie. Prick holes all around the bottom crust with a fork. Return the pie crust to the oven. Bake until the bottom crust is just beginning to brown, about 7-8 minutes. Remove from the oven and set aside. (Crust can still be warm when you pour in the filling. You can partially pre-bake the crust up to 3 days ahead of time. Cover cooled crust tightly and refrigerate until ready to fill.)
Reduce oven temperature to 350°F (177°C).
In a large bowl with a handheld or stand mixer fitted with a whisk attachment, beat the eggs, whole milk, heavy cream, salt, and pepper together on high speed until completely combined, about 1 minute. Whisk in add-ins and then pour into crust.
Bake the quiche until the center is just about set, about 45-55 minutes. Don’t over-bake. Use a pie crust shield to prevent the pie crust edges from over-browning. Allow to cool for 15 minutes. Top with optional toppings before slicing and serving, if desired. Or you can cool the quiche completely before serving– it’s fantastic at room temperature!
This quiche makes great leftovers! Cover tightly and store in the refrigerator for up to 4 days.","Make Ahead & Freezing Instructions: The pie dough can be prepared ahead of time and stored in the refrigerator for up to 5 days or in the freezer for up to 3 months. You can pre-bake the crust ahead of time too. See end of step 2. To freeze, cool baked quiche completely, then cover tightly with a couple sheets of aluminum foil and freeze for up to 3 months. Thaw in the refrigerator or on the counter, then bake at 350°F (177°C) for 20-25 minutes.",https://www.simplyrecipes.com/thmb/vHEVTTrlMUOgml0ZHnHxRUWWoYc=/648x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/Simply-Recipes-Quiche-Lorraine-LEAD-3-da75914b2ec04bcaa6034c50ba4adf8f.jpg,
9,Slow Cooked Shredded Beef Ragu Pasta,2022-01-01 00:00:00,1,2,1,20m,2h 30m,"Ragu is one of those recipes that really showcases the beauty of Italian cooking - everyday ingredients, fast prep, leave it to cook long and slow and you end up with a luscious dish that tastes like a million bucks. This recipe makes enough sauce to serve 8 and freezes great.","Pat beef dry and sprinkle with salt and pepper Sear Beef: Heat 1 tbsp olive oil over high heat in a heavy based pot. Add beef and sear each piece aggressively on all sides until very browned (3 - 5 minutes in total), then remove onto a plate. Turn stove down to medium low and add remaining 2 tbsp of olive oil. Soffrito: Add garlic and onion and sauté for 2 minutes. Then add the carrots and celery and sauté slowly for 5 minutes. Add remaining Ragu ingredients and return the beef to the pot (including pooled juices). Turn the stove up and bring it to a simmer, then turn it down to low so it's bubbling very very gently. (Note 7) Slow cook: Cover the pot and let it cook for 2 hours or until beef is tender enough to shred. (Note 5 for slow cooker and pressure cooker). Shred: Remove beef then coarsely shred with 2 forks. Return beef to the pot. Simmer for 30 minutes until sauce is reduced and thickened - beef will soften slightly more during this step. Final season: Do a taste test and adjust the seasoning to your taste with salt and pepper. ALSO, add 1/2 tsp sugar if sauce is a bit sour for your taste (Note 6). Place the lid on and set aside until ready to serve (it's even better the next day and freezes well for months!).","Beef - Cut the beef into 4 pieces that are around the size of a baseball. The cook time of this recipe assumes you do this. 
Celery and carrots sautéed with the onions and garlic is called ""soffritto"" in Italian cooking. It is a very traditional base for many Italian dishes. Cooking them slowly over low heat releases their flavour and adds an extra dimension to this dish. But it's not a deal killer if you skip these ingredients.
Beef stock - You could use liquid beef stock instead of water + stock cubes.",https://www.recipetineats.com/wp-content/uploads/2017/07/Beef-Ragu-11a.jpg,
10,"Crispy Sesame Chicken with a Sticky Asian Sauce
",2022-01-01 00:00:00,1,2,1,15m,15m,"Crispy Sesame Chicken with a Sticky Asian Sauce - tastier then that naughty takeaway and super simple to make. Sweet, salty, crispy, sticky and a little bit spicy - it covers all the bases for one of these meals that everyone polishes off. Its a real family favorite!","Heat the oil in a wok or large frying pan until very hot. Whilst the oil is heating, place the egg in one shallow bowl and the cornflour in another shallow bowl. Add the flour, salt, pepper, garlic salt and paprika to another shallow bowl and mix together. Dredge the chicken in the cornflour, then dip in the egg (make sure all of the chicken is covered in egg wash), and finally dredge it in the seasoned flour. Add to the wok and cook on a high heat for 6-7 minutes, turning two or three times during cooking, until well browned. You may need to cook in two batches (I find I can do it in one batch so long as it's no more than 3 chicken breasts). Remove from the pan and place in a bowl lined with kitchen towels. Add all of the sauce ingredients to the hot wok, stir and bubble on a high heat until the sauce reduces by about a third (should take 2-3 minutes). Add the chicken back in and toss in the sauce to coat. Cook for 1-2 minutes. Turn off the heat and divide between four bowls. Serve with boiled rice and top with sesame seeds and spring onions.","Double these ingredients if you want extra sauce, rather than just coating the chicken.",https://www.kitchensanctuary.com/wp-content/uploads/2016/06/Crispy-Sesame-Chicken-square-FS-300x300.jpg,
